brand,model,top_speed_kmh,battery_capacity_kWh,number_of_cells,torque_nm,efficiency_wh_per_km,acceleration_0_100_s,fast_charging_power_kw_dc,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,car_body_type,expected_range_km
Hyundai,IONIQ 5 84 kWh RWD (MY24),185,80,384,350,155,7.5,205,1600,520,5,RWD,JC - Medium,SUV,516
Hyundai,IONIQ 5 N (MY24),260,80,384,740,179,3.4,205,0,480,5,AWD,JC - Medium,SUV,447
Hyundai,IONIQ 6 Long Range 2WD,185,74,384,350,136,7.4,200,1500,401,5,RWD,D - Large,Sedan,544
Hyundai,IONIQ 6 Long Range AWD,185,74,384,605,143,5.1,200,1500,401,5,AWD,D - Large,Sedan,517
Hyundai,IONIQ 6 Standard Range 2WD,185,50,264,350,117,8.8,120,750,401,5,RWD,D - Large,Sedan,427
Hyundai,IONIQ 9 Long Range AWD,200,106,0,605,177,6.7,195,2500,338,7,AWD,JF - Luxury,SUV,599
Hyundai,IONIQ 9 Long Range RWD,185,106,0,350,171,9.4,195,1600,338,7,RWD,JF - Luxury,SUV,620
Hyundai,IONIQ 9 Performance AWD,200,106,0,700,177,5.2,195,2500,338,7,AWD,JF - Luxury,SUV,599
Hyundai,Kona Electric 48 kWh,160,48.4,0,255,128,8.8,50,300,466,5,FWD,JB - Compact,SUV,378
Hyundai,Kona Electric 65 kWh,170,65.4,0,255,144,7.8,86,750,466,5,FWD,JB - Compact,SUV,454
Jaguar,I-Pace EV400,200,84.7,432,696,208,4.8,85,750,505,5,AWD,JD - Large,SUV,407
Jeep,Avenger Electric,150,50.8,102,260,132,9,85,0,355,5,FWD,JB - Compact,SUV,385
Jeep,Compass Electric 74 kWh,180,74,0,345,148,8.5,90,1000,550,5,FWD,JC - Medium,SUV,500
KGM,Torres EVX,175,72,0,339,156,8.1,85,1500,839,5,FWD,JC - Medium,SUV,462
Kia,EV3 Long Range,170,78,0,283,139,7.7,105,1000,460,5,FWD,JB - Compact,SUV,561
Kia,EV3 Standard Range,170,55,0,283,133,7.5,80,300,460,5,FWD,JB - Compact,SUV,414
Kia,EV4 Hatchback Long Range,170,78,0,283,132,7.7,105,0,435,5,FWD,C - Medium,Hatchback,591
Kia,EV4 Hatchback Standard Range,170,55,0,283,134,7.4,80,0,435,5,FWD,C - Medium,Hatchback,410
Kia,EV4 Sedan Long Range,170,78,0,283,124,7.7,105,0,490,5,FWD,C - Medium,Sedan,629
Kia,EV4 Sedan Standard Range,170,55,0,283,128,7.4,80,0,490,5,FWD,C - Medium,Sedan,430
Kia,EV6 GT,260,80,384,770,178,3.5,205,1800,480,5,AWD,JC - Medium,SUV,449
Kia,EV6 Long Range 2WD,185,80,384,350,143,7.3,205,1800,490,5,RWD,JC - Medium,SUV,559
Kia,EV6 Long Range AWD,185,80,384,605,154,5.2,205,1800,490,5,AWD,JC - Medium,SUV,519
Kia,EV6 Standard Range 2WD,185,60,288,350,140,8.7,150,750,490,5,RWD,JC - Medium,SUV,429
Kia,EV9 76.1 kWh RWD,190,73,348,350,165,8.5,160,900,333,7,RWD,JF - Luxury,SUV,442
Kia,EV9 99.8 kWh AWD,200,96,456,600,188,6,194,2500,333,7,AWD,JF - Luxury,SUV,511
Kia,EV9 99.8 kWh AWD GT,220,96,456,740,190,4.6,194,2500,333,7,AWD,JF - Luxury,SUV,505
Kia,EV9 99.8 kWh AWD GT-Line,200,96,456,700,190,5.3,194,2500,333,7,AWD,JF - Luxury,SUV,505
Kia,EV9 99.8 kWh RWD,185,96,456,350,171,9.4,194,900,333,7,RWD,JF - Luxury,SUV,561
Kia,Niro EV,167,64.8,96,255,140,7.8,70,750,475,5,FWD,JC - Medium,SUV,463
Lancia,Ypsilon,150,48.1,96,260,122,8.2,80,0,309,5,FWD,B - Compact,Hatchback,394
Leapmotor,C10,170,69.9,0,320,166,7.5,70,1500,435,5,RWD,JD - Large,SUV,421
Leapmotor,T03,130,36,0,158,136,12.7,30,0,210,4,FWD,A - Mini,Hatchback,265
Lexus,RZ 300e,160,64,96,266,149,8,100,750,522,5,FWD,JC - Medium,SUV,430
Lexus,RZ 450e,160,64,96,435,158,5.6,100,750,522,5,AWD,JD - Large,SUV,405
Lexus,UX 300e,160,64,96,300,145,7.5,35,0,316,5,FWD,JC - Medium,SUV,441
Lotus,Eletre,250,109,0,710,204,4.5,259,2250,611,5,AWD,JF - Luxury,SUV,534
Lotus,Eletre R,260,109,0,985,266,2.9,259,2250,611,5,AWD,JF - Luxury,SUV,410
Lotus,Eletre S,250,109,0,710,222,4.5,259,2250,611,5,AWD,JF - Luxury,SUV,491
Lotus,Emeya,250,98.9,0,710,198,4.2,240,2250,509,5,AWD,F - Luxury,Liftback Sedan,499
Lotus,Emeya R,256,98.9,0,985,227,2.8,240,1225,509,5,AWD,F - Luxury,Liftback Sedan,436
Lotus,Emeya S,250,98.9,0,710,198,4.2,240,2250,509,5,AWD,F - Luxury,Liftback Sedan,499
Lucid,Air Grand Touring,270,112,6600,1200,143,3,184,0,456,5,AWD,F - Luxury,Sedan,783
Lucid,Air Pure RWD,200,92,5400,0,130,4.7,160,0,456,5,RWD,F - Luxury,Sedan,708
Lucid,Air Touring,250,92,5400,0,142,3.2,160,0,456,5,AWD,F - Luxury,Sedan,648
MG,Cyberster GT,200,74.4,0,725,168,3.2,85,0,249,2,AWD,G - Sports,Cabriolet,443
MG,Cyberster Trophy,195,74.4,0,475,146,5,85,0,249,2,RWD,G - Sports,Cabriolet,510
MG,4 Electric 51 kWh,160,50.8,104,250,145,7.7,68,500,363,5,RWD,C - Medium,Hatchback,350
MG,4 Electric 64 kWh,160,61.7,104,250,142,7.9,116,500,363,5,RWD,C - Medium,Hatchback,435
MG,4 Electric 77 kWh,180,74.4,0,350,143,6.5,110,500,363,5,RWD,C - Medium,Hatchback,520
MG,4 Electric XPOWER,200,61.7,104,600,160,3.8,116,500,363,5,AWD,C - Medium,Hatchback,386
MG,5 Electric Long Range,185,57.4,0,280,151,7.7,60,500,479,5,FWD,C - Medium,Station/Estate,380
MG,5 Electric Standard Range,185,46,0,280,148,7.7,53,500,479,5,FWD,C - Medium,Station/Estate,311
MG,S5  EV 49 kWh,170,47.1,0,250,139,8,80,750,453,5,RWD,JC - Medium,SUV,339
MG,S5  EV 64 kWh,190,62.1,0,350,134,6.3,90,750,453,5,RWD,JC - Medium,SUV,463
MG,ZS EV Long Range,175,68.3,0,280,155,8.4,82,500,448,5,FWD,JB - Compact,SUV,441
MG,ZS EV Standard Range,175,49,0,280,153,8.6,50,500,448,5,FWD,JB - Compact,SUV,320
Maserati,GranCabrio Folgore,290,83,0,1350,198,2.8,190,0,151,4,AWD,F - Luxury,Cabriolet,419
Maserati,GranTurismo Folgore,325,83,0,1350,182,2.7,217,0,270,4,AWD,F - Luxury,Coupe,456
Maserati,Grecale Folgore,220,95,0,820,220,4.1,110,1800,535,5,AWD,JE - Executive,SUV,432
Mazda,6e 68.8 kWh,175,66,0,320,138,7.6,120,1500,456,5,RWD,D - Large,Liftback Sedan,478
Mazda,6e Long Range 80 kWh,175,75,0,320,136,7.8,70,1500,456,5,RWD,D - Large,Liftback Sedan,551
Mercedes-Benz,CLA 250+,210,85,0,335,122,6.7,235,1500,405,5,RWD,D - Large,Sedan,697
Mercedes-Benz,CLA 350 4MATIC,210,85,0,515,126,4.9,235,1800,405,5,AWD,D - Large,Sedan,675
Mercedes-Benz,EQA 250,160,66.5,300,385,146,8.6,100,1500,340,5,FWD,JC - Medium,SUV,455
Mercedes-Benz,EQA 250+,160,70.5,0,385,142,8.6,90,1500,340,5,FWD,JC - Medium,SUV,496
Mercedes-Benz,EQA 300 4MATIC,160,66.5,300,390,162,7.7,100,1800,340,5,AWD,JC - Medium,SUV,410
Mercedes-Benz,EQA 350 4MATIC,160,66.5,300,520,162,6,100,1800,340,5,AWD,JC - Medium,SUV,410
Mercedes-Benz,EQB 250+,160,70.5,0,385,152,8.9,90,1400,495,7,FWD,JC - Medium,SUV,464
Mercedes-Benz,EQB 300 4MATIC,160,66.5,300,390,168,8,100,1700,495,7,AWD,JC - Medium,SUV,396
Mercedes-Benz,EQB 350 4MATIC,160,66.5,300,520,168,6.2,100,1700,495,7,AWD,JC - Medium,SUV,396
Mercedes-Benz,EQE 300,210,89,0,550,163,7.3,120,750,430,5,RWD,E - Executive,Sedan,546
Mercedes-Benz,EQE 350 4MATIC,210,90.6,360,765,173,6.3,141,1700,430,5,AWD,E - Executive,Sedan,524
Mercedes-Benz,EQE 350+,210,96,0,565,164,6.5,141,750,430,5,RWD,E - Executive,Sedan,585
Mercedes-Benz,EQE 500 4MATIC,210,90.6,360,858,173,4.7,141,1700,430,5,AWD,E - Executive,Sedan,524
Mercedes-Benz,EQE AMG 43 4MATIC,210,90.6,360,858,207,4.2,141,1700,430,5,AWD,E - Executive,Sedan,438
Mercedes-Benz,EQE AMG 53 4MATIC+,220,90.6,360,950,208,3.5,141,1700,430,5,AWD,E - Executive,Sedan,436
Mercedes-Benz,EQE SUV 300,210,90.6,0,550,182,7.6,141,750,520,5,RWD,JE - Executive,SUV,498
